RANK THIS WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,Brooks Koepka,18,"2,887",3,8,0
2,Rory McIlroy,16,"2,315",2,12,572
3,Matt Kuchar,19,"2,313",2,8,574
4,Xander Schauffele,18,"1,858",2,5,"1,029"
5,Gary Woodland,21,"1,795",1,8,"1,092"
6,Patrick Cantlay,18,"1,730",1,8,"1,157"
7,Dustin Johnson,16,"1,686",1,7,"1,201"
8,Paul Casey,20,"1,629",1,6,"1,258"
9,Webb Simpson,18,"1,619",0,6,"1,268"
10,Jon Rahm,17,"1,447",1,10,"1,440"
11,Justin Rose,14,"1,423",1,6,"1,464"
12,Marc Leishman,18,"1,415",1,7,"1,472"
13,Rickie Fowler,17,"1,391",1,6,"1,496"
14,Chez Reavie,25,"1,309",1,5,"1,578"
15,Charles Howell III,24,"1,279",1,5,"1,608"
16,Tony Finau,22,"1,279",0,4,"1,608"
17,Justin Thomas,17,"1,247",0,5,"1,640"
18,Bryson DeChambeau,18,"1,203",1,5,"1,684"
19,Tommy Fleetwood,15,"1,193",0,6,"1,694"
20,Shane Lowry,12,"1,137",1,4,"1,750"
21,Adam Scott,15,"1,124",0,6,"1,763"
22,Kevin Kisner,22,"1,098",1,3,"1,789"
23,Sungjae Im,32,"1,097",0,7,"1,790"
24,Ryan Palmer,19,"1,088",1,6,"1,799"
25,Francesco Molinari,13,"1,054",1,3,"1,833"
26,Scott Piercy,22,"1,025",0,6,"1,862"
27,J.T. Poston,27,"1,015",1,3,"1,872"
28,Tiger Woods,10,"1,003",1,4,"1,884"
29,Sung Kang,25,986,1,4,"1,901"
30,Hideki Matsuyama,21,969,0,5,"1,918"
31,Corey Conners,25,962,1,3,"1,925"
32,Lucas Glover,23,947,0,6,"1,940"
33,Brandt Snedeker,24,934,0,4,"1,953"
34,Phil Mickelson,18,903,1,2,"1,984"
35,C.T. Pan,23,900,1,2,"1,987"
36,Rory Sabbatini,24,895,0,6,"1,992"
37,Keith Mitchell,24,884,1,3,"2,003"
38,Andrew Putnam,21,873,0,3,"2,014"
39,Jim Furyk,19,865,0,3,"2,022"
40,Jason Day,19,865,0,6,"2,022"
41,Kevin Tway,24,863,1,2,"2,024"
42,Jason Kokrak,21,854,0,5,"2,033"
43,Nate Lashley,19,836,1,2,"2,051"
44,Billy Horschel,24,835,0,4,"2,052"
45,Si Woo Kim,26,832,0,5,"2,055"
46,Adam Hadwin,22,818,0,5,"2,069"
47,J.B. Holmes,23,815,1,2,"2,072"
48,Kevin Na,18,815,1,3,"2,072"
49,Collin Morikawa,7,780,1,3,"2,107"
50,Patrick Reed,22,774,0,3,"2,113"
51,Louis Oosthuizen,16,754,0,4,"2,133"
52,Max Homa,23,742,1,2,"2,145"
53,Dylan Frittelli,22,735,1,1,"2,152"
54,Graeme McDowell,18,729,1,3,"2,158"
55,Adam Long,25,719,1,2,"2,168"
56,Joel Dahmen,27,716,0,2,"2,171"
57,Byeong Hun An,20,710,0,3,"2,177"
58,Keegan Bradley,23,700,0,3,"2,187"
59,Rafa Cabrera Bello,18,696,0,2,"2,191"
60,Ian Poulter,16,690,0,5,"2,197"
61,Ryan Moore,20,690,0,2,"2,197"
62,Emiliano Grillo,21,673,0,2,"2,214"
63,Vaughn Taylor,25,641,0,4,"2,246"
64,Cameron Champ,24,639,1,3,"2,248"
65,Sergio Garcia,14,637,0,5,"2,250"
66,Danny Lee,26,625,0,3,"2,262"
67,Abraham Ancer,24,622,0,3,"2,265"
68,Kevin Streelman,25,609,0,4,"2,278"
69,Jordan Spieth,21,605,0,3,"2,282"
70,Matthew Wolff,7,602,1,1,"2,285"
71,Bubba Watson,18,572,0,3,"2,315"
72,Troy Merritt,19,569,0,4,"2,318"
73,Charley Hoffman,23,567,0,2,"2,320"
74,Joaquin Niemann,26,566,0,4,"2,321"
75,Matt Every,15,561,0,2,"2,326"
76,Kiradech Aphibarnrat,19,558,0,3,"2,329"
77,Tyrrell Hatton,16,555,0,3,"2,332"
78,Brian Stuard,28,547,0,3,"2,340"
79,Cameron Smith,22,547,0,3,"2,340"
80,Jhonattan Vegas,22,538,0,3,"2,349"
81,Russell Henley,24,534,0,1,"2,353"
82,Chesson Hadley,25,532,0,3,"2,355"
83,Michael Thompson,21,527,0,4,"2,360"
84,Adam Schenk,30,524,0,3,"2,363"
85,Henrik Stenson,15,523,0,3,"2,364"
86,Brian Harman,28,509,0,4,"2,378"
87,Luke List,21,497,0,4,"2,390"
88,Branden Grace,21,495,0,2,"2,392"
89,Sam Burns,26,493,0,3,"2,394"
90,Wyndham Clark,25,491,0,3,"2,396"
91,Roger Sloan,26,489,0,3,"2,398"
92,Bud Cauley,24,482,0,2,"2,405"
93,J.J. Spaun,25,479,0,2,"2,408"
94,Chris Stroud,25,473,0,4,"2,414"
95,Brice Garnett,27,466,0,2,"2,421"
96,Mackenzie Hughes,24,466,0,2,"2,421"
97,Talor Gooch,16,463,0,2,"2,424"
98,Kyle Stanley,24,460,0,1,"2,427"
99,Nick Watney,25,460,0,3,"2,427"
100,Patrick Rodgers,17,459,0,1,"2,428"
101,Cameron Tringale,20,459,0,2,"2,428"
102,Harold Varner III,24,458,0,2,"2,429"
103,Sam Ryder,22,458,0,2,"2,429"
104,Kyoung-Hoon Lee,29,453,0,2,"2,434"
105,Scott Stallings,25,452,0,2,"2,435"
106,Russell Knox,21,452,0,2,"2,435"
107,Denny McCarthy,27,443,0,2,"2,444"
108,Ryan Armour,27,434,0,1,"2,453"
109,Scott Brown,26,433,0,4,"2,454"
110,Danny Willett,18,432,0,2,"2,455"
111,Sepp Straka,24,432,0,1,"2,455"
112,Aaron Baddeley,17,428,0,3,"2,459"
113,Carlos Ortiz,27,428,0,3,"2,459"
114,Peter Malnati,25,423,0,1,"2,464"
115,Matt Jones,26,423,0,2,"2,464"
116,Brian Gay,27,415,0,2,"2,472"
117,Nick Taylor,27,408,0,1,"2,479"
118,Patton Kizzire,24,406,0,1,"2,481"
119,Martin Laird,25,401,0,4,"2,486"
120,Aaron Wise,20,400,0,1,"2,487"
121,Kelly Kraft,30,399,0,3,"2,488"
122,Jonas Blixt,25,392,0,1,"2,495"
123,Andrew Landry,24,388,0,1,"2,499"
124,Sebastián Muñoz,25,383,0,3,"2,504"
125,Pat Perez,20,376,0,3,"2,511"
126,Richy Werenski,27,374,0,1,"2,513"
127,Shawn Stefani,25,374,0,2,"2,513"
128,Robert Streb,28,372,0,2,"2,515"
129,Alex Noren,18,367,0,,"2,520"
130,Austin Cook,23,364,0,2,"2,523"
131,Daniel Berger,20,361,0,1,"2,526"
132,Martin Trainer,25,354,1,1,"2,533"
133,Peter Uihlein,29,353,0,2,"2,534"
134,Wes Roach,21,345,0,2,"2,542"
135,Bronson Burgoon,20,343,0,2,"2,544"
136,Jason Dufner,25,327,0,2,"2,560"
137,Ryan Blaum,28,323,0,1,"2,564"
138,Jim Herman,21,321,1,1,"2,566"
139,Dominic Bozzelli,24,316,0,2,"2,571"
140,Bill Haas,23,312,0,2,"2,575"
141,Johnson Wagner,19,312,0,1,"2,575"
142,Roberto Castro,22,312,0,2,"2,575"
143,Seamus Power,27,308,0,2,"2,579"
144,Zack Sucher,10,305,0,1,"2,582"
145,Beau Hossler,27,304,0,,"2,583"
146,Josh Teater,24,296,0,2,"2,591"
147,"Ted Potter, Jr.",23,291,0,1,"2,596"
148,Hank Lebioda,23,291,0,1,"2,596"
149,Harris English,28,289,0,,"2,598"
150,Martin Kaymer,14,288,0,1,"2,599"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
